City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,bredasdorp,-34.5322,20.0403,292.0,91,100,5.38,ZA,1667463945
122,pitimbu,-7.4706,-34.8086,296.48,69,96,3.35,BR,1667464167
123,nurlat,54.4277,50.8051,273.86,86,100,3.64,RU,1667464168
124,carahue,-38.7,-73.1667,282.54,86,0,0.61,CL,1667464168
125,aras,42.5617,-2.356,286.9,93,75,0.0,ES,1667464169
126,nome,64.5011,-165.4064,264.19,79,0,3.09,US,1667464170
127,katsuura,35.1333,140.3,294.42,73,2,9.74,JP,1667463990
128,catalao,-18.1658,-47.9464,289.31,79,99,4.27,BR,1667464170
129,mahebourg,-20.4081,57.7,300.31,61,40,6.69,MU,1667463920
130,kavaratti,10.5669,72.642,301.24,67,63,4.48,IN,1667463948
131,korem,12.5058,39.5228,289.73,45,4,3.13,ET,1667464172
132,fairbanks,64.8378,-147.7164,264.72,85,100,3.09,US,1667464173
133,mackay,-21.15,149.2,296.31,57,5,5.49,AU,1667463904
134,torbay,47.6666,-52.7314,275.68,89,100,8.75,CA,1667463938
135,khandyga,62.6667,135.6,248.64,100,78,0.57,RU,1667464174
136,los llanos de aridane,28.6585,-17.9182,292.66,43,20,3.6,ES,1667464174
137,cabo san lucas,22.8909,-109.9124,296.21,72,2,1.34,MX,1667464175
138,rorvik,64.8621,11.2373,282.21,71,0,4.63,NO,1667464175
139,qaanaaq,77.484,-69.3632,257.49,66,97,3.31,GL,1667464176
140,monte patria,-30.6919,-70.9467,290.71,53,100,0.72,CL,1667464176
141,porto novo,6.4965,2.6036,302.05,73,77,2.14,BJ,1667464177
142,talara,-4.5772,-81.2719,291.09,77,100,7.81,PE,1667463931
143,port lincoln,-34.7333,135.8667,287.17,61,73,4.55,AU,1667464010
144,isangel,-19.55,169.2667,298.55,81,17,2.54,VU,1667464178
145,nanortalik,60.1432,-45.2371,274.73,79,100,6.69,GL,1667464011
146,hamilton,39.1834,-84.5333,285.62,95,100,1.54,US,1667464179
147,alofi,-19.0595,-169.9187,298.09,83,100,5.14,NU,1667464181
148,vanavara,60.34,102.2797,269.18,82,100,2.75,RU,1667464182
149,yigou,35.8114,114.3167,286.17,61,100,5.92,CN,1667464182
150,alta floresta,-9.8756,-56.0861,292.26,75,100,0.96,BR,1667464183
151,guerrero negro,27.9769,-114.0611,291.5,78,76,7.69,MX,1667464183
152,kamariotissa,40.4833,25.4667,293.27,73,5,5.5,GR,1667464184
153,praia da vitoria,38.7333,-27.0667,290.29,94,75,6.3,PT,1667464184
154,mnogovershinnyy,53.9353,139.9242,270.73,75,100,6.43,RU,1667464185
155,lamu,-2.2717,40.902,301.27,60,74,4.46,KE,1667464185
156,maningrida,-12.0667,134.2667,299.7,80,40,7.69,AU,1667464186
157,krasnoselkup,65.7,82.4667,260.67,93,82,1.73,RU,1667464186
158,castro,-24.7911,-50.0119,280.98,92,94,3.35,BR,1667463946
159,bodden town,19.2833,-81.25,299.26,84,100,8.43,KY,1667464187
160,aksu,41.1231,80.2644,287.27,27,99,1.22,CN,1667464188
161,mastic beach,40.7668,-72.8521,288.93,87,0,0.0,US,1667464188
162,kahului,20.8947,-156.47,300.16,66,0,5.14,US,1667464189
163,whitecourt,54.1502,-115.6855,258.97,98,35,0.5,CA,1667464189
164,ilulissat,69.2167,-51.1,267.16,38,0,4.12,GL,1667463966
165,sohagpur,22.7,78.2,303.5,28,0,1.88,IN,1667464075
166,san patricio,28.017,-97.5169,295.97,94,84,2.26,US,1667464191
167,buford,34.1207,-84.0043,287.6,87,0,2.57,US,1667464191
168,souillac,-20.5167,57.5167,300.36,61,40,6.69,MU,1667463967
169,burnie,-41.0667,145.9167,286.45,63,11,5.7,AU,1667464177
170,arraial do cabo,-22.9661,-42.0278,292.13,68,100,2.57,BR,1667463992
171,salinas,36.6777,-121.6555,284.72,75,20,2.57,US,1667464193
172,pacific grove,36.6177,-121.9166,284.5,78,20,6.71,US,1667464193
173,sapele,5.8941,5.6767,302.22,69,13,1.35,NG,1667464194
174,avarua,-21.2078,-159.775,296.18,83,75,7.72,CK,1667463928
175,cortez,37.3489,-108.5859,279.57,93,75,0.0,US,1667464195
176,punta alta,-38.8759,-62.0736,288.04,46,0,3.67,AR,1667464195
177,kirakira,-10.4544,161.9205,299.96,83,12,1.85,SB,1667464196
178,provideniya,64.3833,-173.3,261.16,76,89,4.04,RU,1667464196
179,lazaro cardenas,17.9583,-102.2,297.67,90,35,1.63,MX,1667464197
180,the valley,18.217,-63.0578,300.43,73,9,5.1,AI,1667464001
181,esso,55.9333,158.7,262.37,93,95,2.46,RU,1667464198
182,sabang,5.8933,95.3214,300.87,72,92,4.81,ID,1667464198
183,goundam,16.4145,-3.6708,299.03,16,0,5.36,ML,1667464199
184,margate,51.3813,1.3862,289.21,80,100,4.92,GB,1667464199
185,hailar,49.2,119.7,264.79,76,0,3.0,CN,1667464200
186,barinas,8.6226,-70.2075,295.17,100,100,0.51,VE,1667464200
187,klaksvik,62.2266,-6.589,282.66,87,68,2.64,FO,1667464015
188,axim,4.8699,-2.2405,301.04,76,20,2.61,GH,1667464201
189,mount isa,-20.7333,139.5,300.02,12,0,6.69,AU,1667464202
190,east london,-33.0153,27.9116,293.67,88,20,2.57,ZA,1667463965
191,kotido,2.9806,34.1331,301.81,35,95,6.98,UG,1667464203
